Headline,Crypto,Positive,Negative,Neutral
"Bitcoin Halving: What It Means, Potential Impact on Crypto's Price - Markets Insider",bitcoin,0.032197169959545135,0.2643071115016937,0.2643071115016937
Bitcoin Miners Are Devouring Energy at a Record Pace During the Crypto Runup - Bloomberg,bitcoin,0.05678436532616615,0.0437864251434803,0.0437864251434803
How to capitalize on the Bitcoin halving - Cointelegraph,bitcoin,0.11836306750774384,0.011484683491289616,0.011484683491289616
"Bitcoin breaks $70,000 in volatile trading, hitting a new record to end the week - CNBC",bitcoin,0.5129390358924866,0.07178811728954315,0.07178811728954315
DeFi TVL reaches $100B as Bitcoin pumps sentiment - Cointelegraph,bitcoin,0.8766299486160278,0.0162653811275959,0.0162653811275959
Bitcoin’s black swan event: How the return of Satoshi could pose a $75 billion threat - Fortune,bitcoin,0.05520038679242134,0.043231647461652756,0.043231647461652756
SEC's Gensler says crypto 'rife with abuses and fraud' as bitcoin surges to new all-time record - Yahoo Finance,bitcoin,0.4407682418823242,0.169023796916008,0.169023796916008
"‘More Dangerous’ Than Nukes—China And Russia Revealed To Be Suddenly Abandoning The U.S. Dollar For A Bitcoin, Ethereum And XRP-Inspired Rival Amid Crypto Price Pump - Forbes",bitcoin,0.09411634504795074,0.22214576601982117,0.22214576601982117
Why Bitcoin Just Hit Its All - TIME,bitcoin,0.24506905674934387,0.034447234123945236,0.034447234123945236
"This Week in Coins: Bitcoin Touches $70,000 As Major Altcoins Soar - Decrypt",bitcoin,0.44588911533355713,0.07423552870750427,0.07423552870750427
"Gold, Bitcoin surges show black swan risk rising - Asia Times",bitcoin,0.6140545010566711,0.04426250234246254,0.04426250234246254
"Bitcoin briefly rises above $70,000 to another new all-time high - CNBC",bitcoin,0.9040491580963135,0.03473139554262161,0.03473139554262161
Bitcoin (BTC) Price: Should You Invest in Crypto With Prices Hitting Record? - Bloomberg,bitcoin,0.09618736803531647,0.01454311516135931,0.01454311516135931
"What Is Bitcoin? Definition, Basics & How to Use - NerdWallet",bitcoin,0.027853460982441902,0.024387095123529434,0.024387095123529434
Bitcoin briefly bounces to all-time high price - The Associated Press,bitcoin,0.706117570400238,0.04794638976454735,0.04794638976454735
Coinbase Stock vs. Bitcoin: Which Should You Invest In? - Yahoo Finance,bitcoin,0.050033386796712875,0.015041547827422619,0.015041547827422619
Larry Fink bets Bitcoin ETFs are just the beginning as Wall Street eyes $10tn tokenisation play - DLNews,bitcoin,0.12233957648277283,0.01849351078271866,0.01849351078271866
"Bitcoin Reaches Record High of $69,000, Recovering from 2022 Meltdown - The New York Times",bitcoin,0.9172094464302063,0.023836731910705566,0.023836731910705566
Bitcoin Bulls Cite a Simple Reason for Its Rally: Not Enough Coins - The Wall Street Journal,bitcoin,0.10939479619264603,0.03251630812883377,0.03251630812883377
Bitcoin briefly rises to record high over $70000 - Reuters,bitcoin,0.8230209350585938,0.03716886043548584,0.03716886043548584
Bitcoin’s Biggest Bull Run with The Rational Root - What Bitcoin Did,bitcoin,0.04908556118607521,0.02792978845536709,0.02792978845536709
Why Is Bitcoin Going Up? – Forbes Advisor - Forbes,bitcoin,0.036527421325445175,0.06922464072704315,0.06922464072704315
Bitcoin whales not selling despite $70K — BTC holdings growth 'is going parabolic' - Cointelegraph,bitcoin,0.021245451644062996,0.9008026123046875,0.9008026123046875
"Spring Forward, Bitcoin FOMO: Saturday US Briefing - Yahoo Finance",bitcoin,0.02298084832727909,0.04251654073596001,0.04251654073596001
Best Bitcoin ETFs - Buy Side from WSJ - The Wall Street Journal,bitcoin,0.18064667284488678,0.013221518136560917,0.013221518136560917
Bitcoin Price Prediction: Can Bitcoin Reach $1000000 by 2025? – Forbes Advisor INDIA - Forbes,bitcoin,0.09155862778425217,0.012956364080309868,0.012956364080309868
How To Buy Bitcoin (BTC) – Forbes Advisor UK - Forbes,bitcoin,0.0712248906493187,0.013960212469100952,0.013960212469100952
What Is Bitcoin 'Halving' and Does It Push Up the Cryptocurrency's Price? - Bloomberg,bitcoin,0.14010606706142426,0.12584130465984344,0.12584130465984344
Bitcoin Price Prediction: Can BTC Reach $100K in March? - CryptoPotato,bitcoin,0.10017573088407516,0.013096649199724197,0.013096649199724197
