symbol,price
ETHBTC,0.05735000
LTCBTC,0.00129300
BNBBTC,0.00711700
NEOBTC,0.00025580
QTUMETH,0.00130400
EOSETH,0.00030970
SNTETH,0.00001324
BNTETH,0.00024700
BCCBTC,0.07908100
GASBTC,0.00010480
BNBETH,0.12410000
BTCUSDT,68428.16000000
ETHUSDT,3923.58000000
HSRBTC,0.00041400
OAXETH,0.00017780
DNTETH,0.00002801
MCOETH,0.00577200
ICNETH,0.00166300
MCOBTC,0.00021140
WTCBTC,0.00000024
WTCETH,0.00023700
LRCBTC,0.00000529
LRCETH,0.00009244
QTUMBTC,0.00007530
YOYOBTC,0.00000008
OMGBTC,0.00003080
OMGETH,0.00079100
ZRXBTC,0.00000818
ZRXETH,0.00009940
STRATBTC,0.00003085
STRATETH,0.00105300
SNGLSBTC,0.00000013
SNGLSETH,0.00005306
BQXBTC,0.00008703
BQXETH,0.00126350
KNCBTC,0.00001258
KNCETH,0.00039410
FUNBTC,0.00000029
FUNETH,0.00000146
SNMBTC,0.00000057
SNMETH,0.00004986
NEOETH,0.00477500
IOTABTC,0.00000498
IOTAETH,0.00008680
LINKBTC,0.00029270
LINKETH,0.00510400
XVGBTC,0.00000015
XVGETH,0.00000152
SALTBTC,0.00004250
SALTETH,0.00113800
MDABTC,0.00000382
MDAETH,0.00181150
MTLBTC,0.00003650
MTLETH,0.00068340
SUBBTC,0.00000457
SUBETH,0.00012334
EOSBTC,0.00001776
SNTBTC,0.00000076
ETCETH,0.00969000
ETCBTC,0.00055570
MTHBTC,0.00000023
MTHETH,0.00004135
ENGBTC,0.00006200
ENGETH,0.00186480
DNTBTC,0.00000186
ZECBTC,0.00051550
ZECETH,0.00897000
BNTBTC,0.00001412
ASTBTC,0.00000288
ASTETH,0.00006960
DASHBTC,0.00059260
DASHETH,0.01035000
OAXBTC,0.00000331
ICNBTC,0.00005742
BTGBTC,0.00091300
BTGETH,0.05274500
EVXBTC,0.00000274
EVXETH,0.00062490
REQBTC,0.00000220
REQETH,0.00004995
VIBBTC,0.00000166
VIBETH,0.00003450
HSRETH,0.01247400
TRXBTC,0.00000199
TRXETH,0.00003465
POWRBTC,0.00000568
POWRETH,0.00009920
ARKBTC,0.00001679
ARKETH,0.00104600
YOYOETH,0.00005828
XRPBTC,0.00000911
XRPETH,0.00015880
MODBTC,0.00004280
MODETH,0.00116700
ENJBTC,0.00000900
ENJETH,0.00015660
STORJBTC,0.00001288
STORJETH,0.00029910
BNBUSDT,486.90000000
VENBNB,0.14920000
YOYOBNB,0.00059800
POWRBNB,0.00385000
VENBTC,0.00013928
VENETH,0.00325194
KMDBTC,0.00000531
KMDETH,0.00020970
NULSBNB,0.01257000
RCNBTC,0.00000074
RCNETH,0.00037604
RCNBNB,0.00347300
NULSBTC,0.00000553
NULSETH,0.00051926
RDNBTC,0.00000447
RDNETH,0.00071530
RDNBNB,0.00623000
XMRBTC,0.00228700
XMRETH,0.04032000
DLTBNB,0.00240000
WTCBNB,0.00180500
DLTBTC,0.00000071
DLTETH,0.00016807
AMBBTC,0.00000022
AMBETH,0.00004100
AMBBNB,0.00068500
BCCETH,2.47246000
BCCUSDT,448.70000000
BCCBNB,54.29000000
BATBTC,0.00000519
BATETH,0.00010630
BATBNB,0.00183100
BCPTBTC,0.00000048
BCPTETH,0.00008181
BCPTBNB,0.00116200
ARNBTC,0.00000761
ARNETH,0.00029362
GVTBTC,0.00001792
GVTETH,0.00384600
CDTBTC,0.00000317
CDTETH,0.00005119
GXSBTC,0.00004581
GXSETH,0.00062460
NEOUSDT,17.50000000
NEOBNB,0.03836000
POEBTC,0.00000005
POEETH,0.00000664
QSPBTC,0.00000076
QSPETH,0.00002249
QSPBNB,0.00052350
BTSBTC,0.00000043
BTSETH,0.00009498
BTSBNB,0.00144800
XZCBTC,0.00013550
XZCETH,0.00310000
XZCBNB,0.26750000
LSKBTC,0.00003180
LSKETH,0.00055370
LSKBNB,0.06494000
TNTBTC,0.00000261
TNTETH,0.00000920
FUELBTC,0.00000026
FUELETH,0.00002221
MANABTC,0.00001106
MANAETH,0.00019350
BCDBTC,0.00001351
BCDETH,0.00251000
DGDBTC,0.00393100
DGDETH,0.19260000
IOTABNB,0.00071700
ADXBTC,0.00000376
ADXETH,0.00006566
ADXBNB,0.00492900
ADABTC,0.00001073
ADAETH,0.00018700
PPTBTC,0.00001855
PPTETH,0.00141000
CMTBTC,0.00000028
CMTETH,0.00000625
CMTBNB,0.00057700
XLMBTC,0.00000208
XLMETH,0.00003629
XLMBNB,0.00030360
CNDBTC,0.00000006
CNDETH,0.00002599
CNDBNB,0.00033990
LENDBTC,0.00004512
LENDETH,0.00137174
WABIBTC,0.00000030
WABIETH,0.00040308
WABIBNB,0.00024130
LTCETH,0.02256000
LTCUSDT,88.40000000
LTCBNB,0.18160000
TNBBTC,0.00000007
TNBETH,0.00000752
WAVESBTC,0.00004940
WAVESETH,0.00085800
WAVESBNB,0.00513000
GTOBTC,0.00000077
GTOETH,0.00003197
GTOBNB,0.00035200
ICXBTC,0.00000499
ICXETH,0.00011790
ICXBNB,0.00465400
OSTBTC,0.00000032
OSTETH,0.00000225
OSTBNB,0.00052500
ELFBTC,0.00000988
ELFETH,0.00017320
AIONBTC,0.00000139
AIONETH,0.00002645
AIONBNB,0.00261300
NEBLBTC,0.00001200
NEBLBNB,0.01356000
BRDBTC,0.00000127
BRDETH,0.00001688
BRDBNB,0.00247000
MCOBNB,0.26837000
EDOBTC,0.00005609
EDOETH,0.00226600
WINGSBTC,0.00001193
WINGSETH,0.00033460
NAVBTC,0.00000277
NAVETH,0.00011870
NAVBNB,0.00423700
LUNBTC,0.00008510
LUNETH,0.00489100
TRIGBTC,0.00001980
TRIGETH,0.00059400
TRIGBNB,0.01218000
APPCBTC,0.00000055
APPCETH,0.00014600
APPCBNB,0.00189100
VIBEBTC,0.00000042
VIBEETH,0.00005720
RLCBTC,0.00006463
RLCETH,0.00112250
RLCBNB,0.03344000
INSBTC,0.00000618
INSETH,0.00050100
PIVXBTC,0.00000649
PIVXBNB,0.01660000
IOSTBTC,0.00000018
IOSTETH,0.00000372
CHATBTC,0.00000195
CHATETH,0.00006585
STEEMBTC,0.00000495
STEEMETH,0.00008630
STEEMBNB,0.00448000
NANOBTC,0.00006280
NANOETH,0.00090500
NANOBNB,0.05589000
VIABTC,0.00000681
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000525
BLZETH,0.00004159
BLZBNB,0.00062190
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
