symbol,price
ETHBTC,0.05694
LTCBTC,0.001301
BNBBTC,0.007104
NEOBTC,0.0002541
QTUMETH,0.00132
EOSETH,0.000309
SNTETH,1.322e-05
BNTETH,0.0002456
BCCBTC,0.079081
GASBTC,0.0001043
BNBETH,0.1247
BTCUSDT,68318.92
ETHUSDT,3890.51
HSRBTC,0.000414
OAXETH,0.0001778
DNTETH,2.801e-05
MCOETH,0.005772
ICNETH,0.001663
MCOBTC,0.0002114
WTCBTC,2.4e-07
WTCETH,0.000237
LRCBTC,5.27e-06
LRCETH,9.211e-05
QTUMBTC,7.469e-05
YOYOBTC,8e-08
OMGBTC,3.08e-05
OMGETH,0.000791
ZRXBTC,8.73e-06
ZRXETH,9.94e-05
STRATBTC,3.085e-05
STRATETH,0.001053
SNGLSBTC,1.3e-07
SNGLSETH,5.306e-05
BQXBTC,8.703e-05
BQXETH,0.0012635
KNCBTC,1.248e-05
KNCETH,0.0003941
FUNBTC,2.9e-07
FUNETH,1.46e-06
SNMBTC,5.7e-07
SNMETH,4.986e-05
NEOETH,0.004775
IOTABTC,4.95e-06
IOTAETH,8.73e-05
LINKBTC,0.0002921
LINKETH,0.005126
XVGBTC,1.5e-07
XVGETH,1.53e-06
SALTBTC,4.25e-05
SALTETH,0.001138
MDABTC,3.82e-06
MDAETH,0.0018115
MTLBTC,3.615e-05
MTLETH,0.0006834
SUBBTC,4.57e-06
SUBETH,0.00012334
EOSBTC,1.768e-05
SNTBTC,7.6e-07
ETCETH,0.00953
ETCBTC,0.0005431
MTHBTC,2.3e-07
MTHETH,4.135e-05
ENGBTC,6.2e-05
ENGETH,0.0018648
DNTBTC,1.86e-06
ZECBTC,0.0004959
ZECETH,0.0087
BNTBTC,1.406e-05
ASTBTC,2.87e-06
ASTETH,6.96e-05
DASHBTC,0.0005881
DASHETH,0.01034
OAXBTC,3.28e-06
ICNBTC,5.742e-05
BTGBTC,0.000913
BTGETH,0.052745
EVXBTC,2.74e-06
EVXETH,0.0006249
REQBTC,2.13e-06
REQETH,4.995e-05
VIBBTC,1.72e-06
VIBETH,3.45e-05
HSRETH,0.012474
TRXBTC,1.98e-06
TRXETH,3.49e-05
POWRBTC,5.73e-06
POWRETH,0.0001012
ARKBTC,1.679e-05
ARKETH,0.001046
YOYOETH,5.828e-05
XRPBTC,9.09e-06
XRPETH,0.0001595
MODBTC,4.28e-05
MODETH,0.001167
ENJBTC,9.21e-06
ENJETH,0.0001618
STORJBTC,1.267e-05
STORJETH,0.0002991
BNBUSDT,485.3
VENBNB,0.1492
YOYOBNB,0.000598
